Account ID,Account Type,Account Age,KYC Status,Historical Fraud Involvement
ACC87,personal,1914,1,0
ACC88,personal,3446,1,0
ACC89,business,3245,1,0
ACC90,personal,1582,1,0
ACC91,personal,884,1,0
ACC92,personal,2921,1,0
ACC93,personal,3056,1,0
ACC94,business,1378,1,0
ACC95,personal,2650,1,0
ACC96,personal,1537,1,0
ACC97,personal,2337,1,0
ACC98,personal,771,1,0
ACC99,business,3121,1,0
ACC100,business,12,1,0
ACC101,business,2246,1,0
ACC102,personal,2377,1,1
ACC103,business,1860,1,0
ACC104,personal,39,1,0
ACC105,business,3469,1,0
ACC106,personal,2816,1,1
ACC107,personal,1406,1,0
ACC108,personal,1210,0,0
ACC109,personal,2748,1,0
ACC110,personal,2741,1,0
ACC111,personal,3516,1,0
ACC112,personal,1730,1,1
ACC113,personal,2859,1,0
ACC114,personal,2551,0,0
ACC115,personal,2328,1,0
ACC116,personal,352,1,0
ACC117,personal,285,0,0
ACC118,personal,2537,1,0
ACC119,personal,305,1,0
ACC120,business,1449,1,0
ACC121,personal,538,1,0
ACC122,personal,1756,1,0
ACC123,personal,269,1,0
ACC124,personal,1133,1,0
ACC125,business,1375,1,0
ACC126,business,935,1,0
ACC127,business,3562,1,1
ACC128,personal,74,1,1
ACC129,personal,471,1,0
ACC130,personal,2518,1,0
ACC131,personal,432,1,0
ACC132,personal,1174,1,0
ACC133,personal,2893,0,0
ACC134,personal,758,1,0
ACC135,business,1110,1,0
ACC136,personal,3515,1,0
ACC137,personal,2508,1,0
ACC138,personal,1932,1,0
ACC139,personal,2584,1,0
ACC140,business,2765,1,0
ACC141,personal,185,1,0
ACC142,personal,2592,1,0
ACC143,business,2571,1,0
ACC144,personal,745,1,0
ACC145,personal,1436,1,0
ACC146,personal,3623,1,0
ACC147,personal,262,0,0
ACC148,personal,2474,1,0
ACC149,personal,1568,1,1
ACC150,personal,1624,0,0
ACC151,personal,769,0,0
ACC152,personal,2579,1,1
ACC153,personal,353,1,0
ACC154,business,3459,1,0
ACC155,business,2583,1,0
ACC156,personal,1281,0,0
ACC157,personal,1726,1,0
ACC158,personal,379,1,0
ACC159,personal,1948,1,0
ACC160,personal,2530,1,0
ACC161,personal,3566,1,0
ACC162,personal,29,1,0
ACC163,personal,1367,0,0
ACC164,personal,1440,1,0
ACC165,personal,1936,1,0
ACC166,personal,1825,1,0
ACC167,business,2462,1,0
ACC168,personal,1960,0,0
ACC169,business,2078,1,0
ACC170,business,3403,1,0
ACC171,personal,15,1,0
ACC172,personal,1045,1,0
ACC173,personal,1124,1,0
ACC174,personal,1866,1,0
ACC175,business,1538,1,0
ACC176,personal,1584,0,0
ACC177,personal,1296,1,0
ACC178,personal,1095,1,0
ACC179,personal,573,1,1
ACC180,personal,1971,1,0
ACC181,personal,2213,1,0
ACC182,business,3605,1,0
ACC183,personal,1456,1,0
ACC184,personal,3624,0,0
ACC185,personal,1860,1,0
ACC186,personal,2368,1,0
ACC187,personal,3508,1,0
ACC188,personal,339,1,0
ACC189,personal,466,1,0
ACC190,personal,3411,1,0
ACC191,personal,2237,1,0
ACC192,personal,1055,1,0
ACC193,personal,2369,1,0
ACC194,personal,3510,1,0
ACC195,personal,2236,1,1
ACC196,personal,54,1,0
ACC197,personal,3518,1,0
ACC198,personal,3154,1,0
ACC199,personal,2588,1,0
ACC200,personal,2369,1,0
ACC201,personal,2926,0,0
ACC202,personal,2585,0,0
ACC203,personal,2166,1,0
ACC204,business,1403,1,0
ACC205,personal,1520,1,0
ACC206,business,2312,1,0
ACC207,personal,3464,1,0
ACC208,personal,2046,1,0
ACC209,business,576,1,0
ACC210,business,1516,1,0
ACC211,personal,1354,1,0
ACC212,personal,1340,1,0
ACC213,personal,3161,1,0
ACC214,personal,3351,0,0
ACC215,personal,903,1,0
ACC216,personal,1876,0,0
ACC217,personal,1950,1,0
ACC218,personal,743,1,0
ACC219,personal,94,1,0
ACC220,personal,764,1,0
ACC221,personal,1417,1,0
ACC222,personal,1810,1,0
ACC223,personal,1125,1,0
ACC224,business,1310,1,0
ACC225,personal,2162,1,0
ACC226,business,2462,1,0
ACC227,personal,1076,1,0
ACC228,personal,3348,1,0
ACC229,personal,3092,1,0
ACC230,business,2520,1,0
ACC231,personal,1049,1,0
ACC232,personal,2522,1,0
ACC233,business,181,1,0
ACC234,personal,2528,1,0
ACC235,personal,16,1,0
ACC236,personal,2631,1,0
ACC237,business,2724,1,0
ACC238,personal,2993,1,0
ACC239,personal,1750,1,0
ACC240,personal,849,1,0
ACC241,personal,629,1,0
ACC242,personal,982,1,1
ACC243,business,1754,0,0
ACC244,personal,3522,1,0
ACC245,personal,445,1,0
ACC246,personal,2422,1,0
ACC247,personal,2505,1,0
ACC248,personal,247,1,0
ACC249,business,2965,1,0
ACC250,personal,1811,1,0
ACC251,personal,2529,1,1
ACC252,personal,3587,1,0
ACC253,business,750,1,0
ACC254,personal,1145,1,0
ACC255,personal,2052,1,0
ACC256,personal,577,1,0
ACC257,personal,1298,1,0
ACC258,personal,2559,1,0
ACC259,business,2106,1,0
ACC260,personal,1222,0,0
ACC261,personal,3602,1,0
ACC262,personal,1976,1,0
ACC263,personal,149,1,1
ACC264,personal,2388,1,0
ACC265,business,547,0,1
ACC266,business,189,1,0
ACC267,business,1306,1,0
ACC268,business,938,0,0
ACC269,personal,3201,1,0
ACC270,personal,1644,1,0
ACC271,personal,17,1,0
ACC272,personal,393,1,0
ACC273,business,1537,1,0
ACC274,business,3461,1,1
ACC275,personal,3173,1,1
ACC276,personal,930,1,0
ACC277,business,1673,1,0
ACC278,personal,2505,1,0
ACC279,personal,1515,1,0
ACC280,personal,927,1,0
ACC281,personal,3562,1,0
ACC282,personal,1267,0,0
ACC283,business,2331,1,0
ACC284,business,1464,1,0
ACC285,personal,325,1,0
ACC286,personal,582,1,0
ACC287,personal,1174,1,0
ACC288,personal,778,1,0
ACC289,personal,925,1,0
ACC290,personal,1736,1,0
ACC291,personal,2406,1,0
ACC292,personal,1849,1,0
ACC293,personal,3425,1,0
ACC294,business,2952,1,0
ACC295,personal,526,1,0
ACC296,personal,2999,1,0
ACC297,personal,2556,1,0
ACC298,personal,2487,1,0
ACC299,personal,3235,1,0
ACC300,personal,2121,1,0
ACC301,personal,674,1,0
ACC302,personal,2445,1,0
ACC303,personal,2010,1,0
ACC304,personal,126,0,1
ACC305,personal,1010,1,0
ACC306,personal,2726,1,0
ACC307,personal,1504,1,0
ACC308,personal,1704,1,0
ACC309,personal,1320,1,0
ACC310,personal,1469,1,0
ACC311,personal,743,0,0
ACC312,personal,493,1,0
ACC313,personal,998,1,0
ACC314,personal,3274,1,0
ACC315,personal,3232,1,0
ACC316,personal,696,1,0
ACC317,personal,2926,1,0
ACC318,personal,3105,0,0
ACC319,personal,3127,1,0
ACC320,personal,247,1,0
ACC321,personal,1621,1,0
ACC322,personal,15,1,0
ACC323,personal,2380,1,0
ACC324,business,842,1,0
ACC325,personal,1775,1,0
ACC326,personal,2262,1,0
ACC327,personal,2822,1,0
ACC328,personal,1135,1,0
ACC329,personal,1968,1,0
ACC330,personal,30,1,0
ACC331,business,3461,1,0
ACC332,personal,907,0,0
ACC333,personal,3444,1,0
ACC334,personal,644,1,0
ACC335,personal,2745,1,0
ACC336,business,351,1,0
ACC337,personal,1978,1,0
ACC338,business,978,1,0
ACC339,personal,1899,1,0
ACC340,personal,1361,1,0
ACC341,personal,1940,1,0
ACC342,personal,2846,1,0
ACC343,business,2773,1,0
ACC344,business,828,0,0
ACC345,business,2364,1,0
ACC346,personal,3503,1,0
ACC347,personal,1133,1,0
ACC348,personal,1906,1,0
ACC349,personal,2921,1,0
ACC350,personal,1426,1,0
ACC351,personal,3035,1,0
ACC352,personal,2746,1,0
ACC353,personal,3357,1,0
ACC354,personal,2974,1,0
ACC355,personal,3201,1,0
ACC356,personal,2661,1,0
ACC357,personal,2570,1,0
ACC358,personal,1647,1,0
ACC359,personal,1023,1,0
ACC360,personal,3020,1,0
ACC361,business,668,1,0
ACC362,personal,1649,1,1
ACC363,business,355,1,0
ACC364,business,2238,1,0
ACC365,personal,2412,1,0
ACC366,business,3126,1,0
ACC367,personal,1942,1,0
ACC368,personal,859,1,0
ACC369,personal,1328,1,0
ACC370,personal,2616,1,0
ACC371,personal,2460,1,0
ACC372,business,2881,1,0
ACC373,personal,798,1,0
ACC374,personal,1359,1,0
ACC375,personal,239,1,0
ACC376,business,1385,1,0
ACC377,personal,874,1,0
ACC378,personal,2171,1,0
ACC379,personal,2146,1,0
ACC380,personal,883,1,0
ACC381,personal,2477,1,0
ACC382,personal,257,1,0
ACC383,personal,942,1,0
ACC384,business,2256,0,0
ACC385,personal,1698,1,0
ACC386,personal,1562,1,0
ACC387,personal,1473,1,0
ACC388,business,76,1,0
ACC389,personal,1549,1,0
ACC390,personal,2466,1,1
ACC391,personal,2823,0,0
ACC392,personal,1209,1,1
ACC393,personal,1249,1,1
ACC394,personal,304,1,0
ACC395,business,399,1,0
ACC396,personal,3441,0,0
ACC397,personal,1695,1,1
ACC398,business,1465,1,0
ACC399,personal,1357,1,0
ACC400,business,79,1,0
ACC401,personal,529,1,0
ACC402,personal,1515,1,0
ACC403,personal,3192,0,0
ACC404,personal,1262,1,0
ACC405,personal,1637,1,0
ACC406,personal,614,1,0
ACC407,personal,1146,0,0
ACC408,personal,250,1,0
ACC409,personal,1332,0,0
ACC410,personal,2832,1,0
ACC411,personal,3646,1,0
ACC412,personal,2096,1,0
ACC413,personal,1461,1,0
ACC414,personal,2035,1,0
ACC415,personal,3527,1,0
ACC416,personal,1202,1,0
ACC417,personal,3343,0,0
ACC418,personal,3398,0,0
ACC419,personal,786,1,1
ACC420,business,2192,1,0
ACC421,personal,2464,1,0
ACC422,personal,1711,1,0
ACC423,personal,1296,1,0
ACC424,personal,2614,1,0
ACC425,personal,18,1,0
ACC426,personal,3136,1,0
ACC427,personal,1997,1,0
ACC428,personal,2516,1,0
ACC429,personal,445,1,0
ACC430,personal,529,1,0
ACC431,personal,3393,1,0
ACC432,personal,2638,1,0
ACC433,personal,2011,1,0
ACC434,personal,853,1,0
ACC435,business,1028,1,0
ACC436,personal,2040,1,0
ACC437,personal,1707,1,0
ACC438,personal,241,1,0
ACC439,personal,3121,1,0
ACC440,personal,422,1,0
ACC441,personal,2902,1,0
ACC442,personal,334,1,0
ACC443,personal,2716,1,0
ACC444,personal,2037,1,0
ACC445,personal,2306,1,0
ACC446,business,2083,0,1
ACC447,personal,986,1,0
ACC448,personal,3266,1,0
ACC449,personal,739,1,0
ACC450,personal,484,1,0
ACC451,personal,3374,1,0
ACC452,personal,3052,1,0
ACC453,personal,3056,1,0
ACC454,personal,3169,1,0
ACC455,personal,2102,1,0
ACC456,personal,2923,1,0
ACC457,personal,3019,1,0
ACC458,personal,683,1,0
ACC459,personal,2630,1,0
ACC460,personal,2307,1,0
ACC461,business,2084,1,0
ACC462,personal,1738,0,0
ACC463,business,1491,1,0
ACC464,business,2280,1,0
ACC465,business,1092,1,0
ACC466,personal,2884,1,0
ACC467,business,2861,1,0
ACC468,business,1239,1,0
ACC469,personal,2760,0,0
ACC470,personal,597,1,0
ACC471,personal,1310,1,0
ACC472,business,2083,1,0
ACC473,personal,2845,1,0
ACC474,business,3310,1,0
ACC475,personal,1372,0,0
ACC476,personal,1356,1,0
ACC477,personal,70,1,0
ACC478,personal,719,1,0
ACC479,personal,3457,1,0
ACC480,personal,2177,1,0
ACC481,personal,9,0,0
ACC482,personal,2931,1,1
ACC483,personal,288,1,0
ACC484,personal,2922,1,0
ACC485,personal,3526,1,0
ACC486,personal,2049,1,0
ACC487,business,2423,1,0
ACC488,personal,1678,1,0
ACC489,personal,427,0,0
ACC490,personal,2070,1,0
ACC491,personal,1261,1,1
ACC492,personal,3411,1,0
ACC493,personal,2026,1,0
ACC494,personal,1324,1,0
ACC495,personal,460,1,0
ACC496,personal,3207,1,0
ACC497,business,2315,1,0
ACC498,personal,1793,1,0
ACC499,business,630,1,0
ACC500,personal,2723,1,0
ACC501,business,2694,1,0
ACC502,personal,1643,1,0
ACC503,personal,2323,1,0
ACC504,business,1026,1,0
ACC505,business,2349,1,0
ACC506,personal,180,1,0
ACC507,personal,1072,1,0
ACC508,personal,235,1,0
ACC509,personal,3243,1,0
ACC510,personal,3321,1,0
ACC511,personal,1821,1,0
ACC512,personal,1933,1,0
ACC513,business,1277,1,0
ACC514,personal,3514,1,0
ACC515,personal,3561,1,0
ACC516,personal,3336,1,0
ACC517,personal,3285,1,0
ACC518,business,904,1,0
ACC519,personal,731,1,0
ACC520,personal,3212,1,0
ACC521,personal,3068,1,0
ACC522,business,2021,1,0
ACC523,personal,1703,1,0
ACC524,personal,1757,1,0
ACC525,personal,3324,1,1
ACC526,personal,1933,1,0
ACC527,personal,1577,1,0
ACC528,personal,182,1,0
ACC529,personal,3284,1,0
ACC530,personal,432,1,0
ACC531,personal,2165,1,0
ACC532,personal,2270,1,0
ACC533,personal,1392,0,0
ACC534,personal,2177,1,0
ACC535,personal,1787,1,0
ACC536,personal,399,1,0
ACC537,business,1785,1,0
ACC538,personal,3001,1,0
ACC539,personal,1586,1,0
ACC540,personal,2796,1,0
ACC541,personal,2171,1,0
ACC542,personal,3426,1,0
ACC543,personal,2749,0,0
ACC544,business,1659,1,0
ACC545,personal,1277,1,0
ACC546,personal,3618,1,1
ACC547,personal,1797,1,0
ACC548,business,2713,1,0
ACC549,personal,2016,1,0
ACC550,personal,2467,1,1
ACC551,personal,122,1,0
ACC552,personal,1083,1,0
ACC553,personal,33,1,0
ACC554,personal,2776,0,0
ACC555,personal,3542,1,0
ACC556,personal,2494,1,0
ACC557,personal,1110,1,0
ACC558,business,492,1,0
ACC559,personal,2107,0,0
ACC560,personal,3310,1,0
ACC561,business,3310,1,0
ACC562,personal,1958,1,0
ACC563,personal,3350,1,0
ACC564,personal,504,1,0
ACC565,personal,3102,1,0
ACC566,personal,1404,1,0
ACC567,personal,1367,1,0
ACC568,business,25,1,0
ACC569,business,2459,1,0
ACC570,personal,2582,1,0
ACC571,personal,109,1,0
ACC572,personal,2268,1,0
ACC573,personal,1086,1,0
ACC574,personal,1177,1,0
ACC575,personal,738,1,0
ACC576,personal,2057,1,0
ACC577,personal,223,0,0
ACC578,personal,2834,1,0
ACC579,personal,3368,1,0
ACC580,personal,1009,1,0
ACC581,personal,3229,1,0
ACC582,personal,3644,1,0
ACC583,personal,1695,0,0
ACC584,business,1101,1,0
ACC585,personal,3368,1,0
ACC586,personal,109,1,0
ACC587,personal,3242,1,0
ACC588,personal,3648,1,0
ACC589,personal,1292,1,0
ACC590,personal,1543,1,0
ACC591,business,3120,0,1
ACC592,personal,1005,1,0
ACC593,personal,593,1,0
ACC594,personal,2437,1,0
ACC595,personal,2690,1,0
ACC596,personal,2961,0,0
ACC597,business,3100,1,0
ACC598,personal,757,1,0
ACC599,business,1410,1,1
ACC600,personal,3071,1,0
ACC601,personal,2064,1,0
ACC602,business,2743,1,0
ACC603,personal,2619,1,0
ACC604,personal,1685,1,0
ACC605,personal,270,1,0
ACC606,business,723,1,0
ACC607,personal,965,0,0
ACC608,personal,3106,1,0
ACC609,personal,3624,1,0
ACC610,business,2313,1,0
ACC611,business,170,1,0
ACC612,personal,132,1,0
ACC613,personal,1177,1,0
ACC614,personal,3565,1,0
ACC615,personal,73,1,0
ACC616,personal,2375,1,0
ACC617,personal,2346,1,0
ACC618,personal,1662,0,0
ACC619,personal,1004,1,0
ACC620,personal,3335,1,0
ACC621,personal,982,0,0
ACC622,personal,2758,1,0
ACC623,personal,3644,1,0
ACC624,personal,1556,1,0
ACC625,personal,2180,1,1
ACC626,personal,1470,1,0
ACC627,personal,354,1,0
ACC628,personal,421,1,1
ACC629,personal,2827,1,0
ACC630,business,1837,1,0
ACC631,personal,1112,1,0
ACC632,personal,2787,1,0
ACC633,personal,525,1,0
ACC634,business,2445,1,0
ACC635,personal,3262,1,0
ACC636,personal,3144,1,0
ACC637,personal,285,1,0
ACC638,personal,2259,1,0
ACC639,business,2185,1,0
ACC640,personal,2848,1,0
ACC641,personal,334,1,0
ACC642,personal,1435,0,0
ACC643,personal,2432,1,0
ACC644,personal,76,1,0
ACC645,personal,1977,1,0
ACC646,personal,1907,1,0
ACC647,personal,1286,0,0
ACC648,personal,484,1,0
ACC649,business,372,1,0
ACC650,personal,23,1,0
ACC651,business,260,0,0
ACC652,personal,1949,0,0
ACC653,personal,742,1,0
ACC654,business,35,1,0
ACC655,business,2835,1,0
ACC656,personal,1160,1,0
ACC657,business,1349,1,0
ACC658,personal,199,1,0
ACC659,business,2521,1,0
ACC660,business,3312,1,0
ACC661,personal,2852,1,0
ACC662,personal,2316,1,0
ACC663,business,2919,1,1
ACC664,personal,1213,1,0
ACC665,business,734,1,0
ACC666,personal,2585,0,0
ACC667,business,3080,1,0
ACC668,personal,1022,1,0
ACC669,personal,880,1,0
ACC670,personal,819,1,0
ACC671,personal,2484,1,1
ACC672,personal,181,1,0
ACC673,business,969,1,0
ACC674,personal,1623,1,0
ACC675,personal,3404,1,0
ACC676,business,2570,1,0
ACC677,personal,332,1,0
ACC678,personal,2823,0,0
ACC679,personal,2749,1,0
ACC680,personal,182,1,0
ACC681,business,3165,1,0
ACC682,personal,1919,1,0
ACC683,personal,3362,1,0
ACC684,personal,2251,1,0
ACC685,personal,3052,1,1
ACC686,business,417,1,0
ACC687,personal,2177,1,0
ACC688,business,1714,1,0
ACC689,business,1607,1,0
ACC690,personal,228,1,0
ACC691,personal,69,1,0
ACC692,business,194,1,0
ACC693,personal,2731,1,0
ACC694,personal,2895,1,0
ACC695,personal,1125,1,0
ACC696,business,3605,1,0
ACC697,personal,803,1,0
ACC698,personal,762,0,0
ACC699,personal,2110,1,0
ACC700,personal,1045,1,0
ACC701,personal,3153,1,0
ACC702,personal,1898,1,0
ACC703,personal,3157,1,0
ACC704,personal,715,1,0
ACC705,business,3584,1,0
ACC706,personal,1908,1,0
ACC707,business,815,1,0
ACC708,personal,1717,1,0
ACC709,personal,928,1,0
ACC710,personal,728,1,0
ACC711,personal,2186,1,0
ACC712,personal,425,1,0
ACC713,personal,2044,1,0
ACC714,personal,2397,1,0
ACC715,personal,1568,1,0
ACC716,business,1292,0,0
ACC717,personal,2169,1,1
ACC718,personal,127,1,0
ACC719,business,1951,1,0
ACC720,personal,2919,1,0
ACC721,business,264,0,0
ACC722,business,646,1,0
ACC723,personal,1551,1,0
ACC724,personal,1162,1,0
ACC725,personal,3005,1,0
ACC726,personal,382,1,0
ACC727,business,3570,1,1
ACC728,personal,2399,1,0
ACC729,personal,3013,1,0
ACC730,personal,1665,1,0
ACC731,personal,2884,1,0
ACC732,personal,2515,1,0
ACC733,personal,77,1,0
ACC734,personal,1502,1,0
ACC735,personal,2193,1,0
ACC736,personal,1085,0,1
ACC737,personal,2370,1,0
ACC738,personal,840,1,0
ACC739,personal,675,1,0
ACC740,personal,994,1,0
ACC741,personal,3072,1,0
ACC742,personal,1766,1,0
ACC743,personal,948,1,0
ACC744,personal,1523,1,0
ACC745,personal,887,1,0
ACC746,business,292,1,0
ACC747,business,962,0,1
ACC748,personal,2888,1,0
ACC749,personal,3183,1,0
ACC750,personal,1373,1,0
ACC751,personal,3104,1,0
ACC752,personal,2565,1,0
ACC753,business,3238,1,0
ACC754,personal,1132,1,0
ACC755,business,1179,0,0
ACC756,personal,2668,1,0
ACC757,personal,351,1,0
ACC758,personal,1970,1,0
ACC759,personal,3176,1,0
ACC760,personal,1,0,0
ACC761,personal,2484,1,0
ACC762,personal,3422,1,0
ACC763,personal,3017,1,0
ACC764,personal,1155,1,0
ACC765,personal,2486,0,0
ACC766,personal,1167,1,0
ACC767,personal,155,1,0
ACC768,business,2139,1,1
ACC769,personal,187,1,1
ACC770,business,1387,0,1
ACC771,business,1077,1,0
ACC772,business,1230,1,0
ACC773,personal,1906,1,0
ACC774,business,2575,1,0
ACC775,personal,893,1,0
ACC776,personal,341,0,0
ACC777,personal,2806,0,0
ACC778,personal,1859,1,0
ACC779,personal,823,0,0
ACC780,personal,2110,1,0
ACC781,personal,1729,1,0
ACC782,personal,3513,1,0
ACC783,personal,557,1,0
ACC784,personal,2564,1,1
ACC785,personal,3505,1,0
ACC786,personal,1345,1,0
ACC787,personal,634,1,0
ACC788,business,1855,1,0
ACC789,personal,1464,1,0
ACC790,business,2517,1,0
ACC791,personal,2582,1,0
ACC792,personal,1752,1,0
ACC793,personal,2786,1,0
ACC794,personal,2328,1,0
ACC795,business,2102,1,0
ACC796,business,2983,1,0
ACC797,personal,2241,0,0
ACC798,personal,489,1,0
ACC799,personal,3,1,0
ACC800,personal,263,1,0
ACC801,business,2376,0,0
ACC802,business,3477,1,0
ACC803,personal,2944,1,0
ACC804,business,1718,0,0
ACC805,personal,2590,1,0
ACC806,personal,234,1,0
ACC807,personal,2690,1,0
ACC808,personal,1070,1,0
ACC809,personal,318,1,0
ACC810,personal,1373,1,0
ACC811,personal,3104,0,0
ACC812,personal,2527,1,0
ACC813,personal,1647,1,0
ACC814,personal,3528,1,0
ACC815,business,3590,1,0
ACC816,personal,2456,1,0
ACC817,personal,1962,1,0
ACC818,personal,558,1,0
ACC819,personal,1165,1,0
ACC820,personal,612,0,0
ACC821,personal,2536,1,0
ACC822,personal,914,1,0
ACC823,personal,3380,1,0
ACC824,personal,1061,1,0
ACC825,personal,234,1,0
ACC826,personal,1184,1,0
ACC827,personal,3646,1,0
ACC828,personal,1235,1,0
ACC829,personal,460,1,0
ACC830,personal,881,1,0
ACC831,personal,2156,1,0
ACC832,personal,2957,1,0
ACC833,business,2908,1,0
ACC834,personal,2622,1,0
ACC835,personal,1257,1,0
ACC836,business,1938,0,0
ACC837,personal,2170,1,0
ACC838,personal,92,1,0
ACC839,personal,3160,0,0
ACC840,personal,2755,1,0
ACC841,personal,3004,1,0
ACC842,personal,1752,1,0
ACC843,personal,1586,1,0
ACC844,business,1514,1,0
ACC845,business,2385,1,0
ACC846,personal,3063,1,0
ACC847,personal,1792,1,0
ACC848,personal,1575,1,0
ACC849,business,1013,0,0
ACC850,business,175,1,1
ACC851,personal,707,1,1
ACC852,personal,2905,1,0
ACC853,personal,618,1,0
ACC854,personal,2105,0,0
ACC855,business,1150,1,0
ACC856,personal,464,1,0
ACC857,personal,1873,1,1
ACC858,personal,2676,1,0
ACC859,business,3448,1,0
ACC860,personal,349,1,0
ACC861,personal,2716,1,0
ACC862,business,2949,1,0
ACC863,personal,1619,1,0
ACC864,personal,3098,1,0
ACC865,personal,1579,1,0
ACC866,personal,1393,1,0
ACC867,personal,810,1,0
ACC868,personal,3413,1,0
ACC869,personal,653,0,0
ACC870,personal,1861,0,0
ACC871,business,2492,1,0
ACC872,personal,2370,1,0
ACC873,personal,3523,0,0
ACC874,personal,2695,1,0
ACC875,personal,2490,1,0
ACC876,personal,1628,1,0
ACC877,personal,1769,0,0
ACC878,personal,2304,0,0
ACC879,personal,2422,0,1
ACC880,business,3529,1,0
ACC881,business,773,1,0
ACC882,personal,1201,1,0
ACC883,personal,1969,1,1
ACC884,personal,2881,1,0
ACC885,personal,1381,1,0
ACC886,personal,1866,0,0
ACC887,personal,2344,1,1
ACC888,personal,1517,0,0
ACC889,business,1497,1,0
ACC890,personal,1310,1,0
ACC891,personal,2164,1,0
ACC892,business,1035,1,0
ACC893,personal,1043,1,0
ACC894,personal,1326,1,0
ACC895,business,2285,1,0
ACC896,business,3214,1,0
ACC897,business,3159,1,0
ACC898,personal,155,1,0
ACC899,personal,1592,1,0
ACC900,business,100,0,0
ACC901,personal,3565,1,0
ACC902,personal,1914,0,0
ACC903,personal,2154,1,0
ACC904,personal,622,1,0
ACC905,personal,2169,0,0
ACC906,personal,891,1,0
ACC907,personal,839,1,0
ACC908,personal,2091,1,0
ACC909,personal,1887,1,0
ACC910,personal,142,1,0
ACC911,business,779,1,0
ACC912,personal,3168,1,0
ACC913,personal,2005,1,0
ACC914,business,1596,1,0
ACC915,personal,2441,1,0
ACC916,business,2849,1,0
ACC917,personal,2896,1,0
ACC918,personal,2213,0,0
ACC919,personal,3085,1,0
ACC920,business,571,1,0
ACC921,personal,1390,1,0
ACC922,personal,677,1,1
ACC923,personal,3478,1,0
ACC924,personal,481,1,0
ACC925,personal,451,0,0
ACC926,personal,713,1,0
ACC927,personal,2369,1,0
ACC928,business,2742,0,0
ACC929,personal,803,0,0
ACC930,personal,2299,1,0
ACC931,personal,3479,1,0
ACC932,personal,2384,1,0
ACC933,personal,2299,1,0
ACC934,personal,234,1,0
ACC935,personal,3488,1,0
ACC936,personal,2841,1,0
ACC937,personal,307,1,0
ACC938,personal,1256,0,0
ACC939,personal,932,1,0
ACC940,personal,1194,1,0
ACC941,business,2216,1,0
ACC942,personal,2063,1,0
ACC943,personal,354,1,0
ACC944,business,2508,1,0
ACC945,personal,2335,1,0
ACC946,personal,668,1,0
ACC947,personal,1987,0,0
ACC948,personal,1159,1,0
ACC949,business,295,1,0
ACC950,personal,287,1,0
ACC951,business,942,0,0
ACC952,personal,2360,0,0
ACC953,personal,169,1,1
ACC954,personal,1057,1,0
ACC955,business,1026,1,0
ACC956,personal,2343,1,0
ACC957,personal,3490,1,0
